"('08JD1180_001b', '08JD1180_001', '08JD1180', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'A556', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1048_001b', '08JD1048_001', '08JD1048', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'HP301', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1123_001b', '08JD1123_001', '08JD1123', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'R168', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1176_001b', '08JD1176_001', '08JD1176', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'F44', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1179_001b', '08JD1179_001', '08JD1179', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'B103', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1118_001b', '08JD1118_001', '08JD1118', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'M37W', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1117_001b', '08JD1117_001', '08JD1117', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'CM37', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1051_001b', '08JD1051_001', '08JD1051', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'H105W', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1164_001b', '08JD1164_001', '08JD1164', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'T8', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1090_001b', '08JD1090_001', '08JD1090', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'I137TN', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1170_001b', '08JD1170_001', '08JD1170', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'K4', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1054_001b', '08JD1054_001', '08JD1054', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'U267Y', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1151_001b', '08JD1151_001', '08JD1151', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'NC346', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
"('08JD1453_001b', '08JD1453_001', '08JD1453', '08JD', 'NULL', 'NULL', 'NULL', 'sib', 'NULL', 'NULL', 'NULL', 'W22', 'NULL', '1', 'NULL', 'NULL', 'NULL', 'NULL')"
