08SC1061,NULL,08SC,106,NULL,NULL,07FL373,2,31,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1062,NULL,08SC,156,NULL,NULL,07A5379,2,31,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1063,NULL,08SC,34,NULL,NULL,07A1150,2,32,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1064,NULL,08SC,89,NULL,NULL,07A4008,2,32,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1065,NULL,08SC,126,NULL,NULL,07FL384,2,33,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1066,NULL,08SC,168,NULL,NULL,07FL411,2,33,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1067,NULL,08SC,192,NULL,NULL,07FL424,2,34,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1068,NULL,08SC,137,NULL,NULL,07FL390,2,34,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1069,NULL,08SC,186,NULL,NULL,07FL421,2,35,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1070,NULL,08SC,14,NULL,NULL,07A0805,2,35,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1071,NULL,08SC,82,NULL,NULL,07A4752,2,36,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1072,NULL,08SC,81,NULL,NULL,07FL361,2,36,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1073,NULL,08SC,100,NULL,NULL,07A3691,2,37,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1074,NULL,08SC,15,NULL,NULL,07FL318,2,37,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1075,NULL,08SC,124,NULL,NULL,07FL382,2,38,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1076,NULL,08SC,193,NULL,NULL,07A4991,2,38,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1077,NULL,08SC,159,NULL,NULL,07A2143,2,39,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1078,NULL,08SC,166,NULL,NULL,07FL409,2,39,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1079,NULL,08SC,65,NULL,NULL,07A4079,2,40,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1080,NULL,08SC,200,NULL,NULL,07FL428,2,40,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1081,NULL,08SC,61,NULL,NULL,07FL348,2,41,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1082,NULL,08SC,120,NULL,NULL,07A1411,2,41,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1083,NULL,08SC,10,NULL,NULL,07A5727,2,42,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1084,NULL,08SC,76,NULL,NULL,07A2742,2,42,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1085,NULL,08SC,125,NULL,NULL,07FL383,3,1,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1086,NULL,08SC,149,NULL,NULL,07FL398,3,1,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1087,NULL,08SC,72,NULL,NULL,07FL355,3,2,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
