07PN0010_008x,07PN0010_008,07PN0010,07PN,07N10.08,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-28,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_009x,07PN0010_009,07PN0010,07PN,07N10.09,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-29,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_010x,07PN0010_010,07PN0010,07PN,07N10.10,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-30,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_011x,07PN0010_011,07PN0010,07PN,07N10.11,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-31,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_012x,07PN0010_012,07PN0010,07PN,07N10.12,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-32,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_013x,07PN0010_013,07PN0010,07PN,07N10.13,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-33,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_014x,07PN0010_014,07PN0010,07PN,07N10.14,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-34,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_015s,07PN0010_015,07PN0010,07PN,NULL,07N10.15,07N10.15,self,NULL,NULL,NULL,B73//B73/[32-24]-5_35,NULL,3,NULL,P30_Et4 [32-24] BC1S1,NULL,NULL
07PN0010_015x,07PN0010_015,07PN0010,07PN,07N10.15,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-35,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0010_016x,07PN0010_016,07PN0010,07PN,07N10.16,07N10,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-5-36,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_001x,07PN0011_001,07PN0011,07PN,07N11.01,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-21,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_002s,07PN0011_002,07PN0011,07PN,NULL,07N11.02,07N11.02,self,NULL,NULL,NULL,B73//B73/[32-24]-6-22,NULL,3,NULL,P30_Et4 [32-28] BC1S1,NULL,NULL
07PN0011_002x,07PN0011_002,07PN0011,07PN,07N11.02,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-22,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_003x,07PN0011_003,07PN0011,07PN,07N11.03,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-23,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_004x,07PN0011_004,07PN0011,07PN,07N11.04,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-24,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_006x,07PN0011_006,07PN0011,07PN,07N11.06,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-26,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_007x,07PN0011_007,07PN0011,07PN,07N11.07,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-27,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_008x,07PN0011_008,07PN0011,07PN,07N11.08,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-28,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_009x,07PN0011_009,07PN0011,07PN,07N11.09,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-29,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_010x,07PN0011_010,07PN0011,07PN,07N11.10,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-30,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_011x,07PN0011_011,07PN0011,07PN,07N11.11,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-31,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_012x,07PN0011_012,07PN0011,07PN,07N11.12,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-32,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_013x,07PN0011_013,07PN0011,07PN,07N11.13,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-33,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0011_014x,07PN0011_014,07PN0011,07PN,07N11.14,07N11,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-6-34,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
