09PF0140_000b,NULL,09PF0140,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_038_02_01_sib,P05L0038,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0141_000b,NULL,09PF0141,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_234_02_01_sib,P05L0234,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0142_000b,NULL,09PF0142,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_064_02_01_sib,P05L0064,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0143_000b,NULL,09PF0143,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_338_02_01_sib,P05L0338,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0144_000b,NULL,09PF0144,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_230_02_01_sib,P05L0230,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0145_000b,NULL,09PF0145,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_291_02_01_sib,P05L0291,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0146_000b,NULL,09PF0146,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_312_02_01_sib,P05L0312,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0147_000b,NULL,09PF0147,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_202_02_01_sib,P05L0202,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0148_000b,NULL,09PF0148,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_042_02_01_sib,P05L0042,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0149_000b,NULL,09PF0149,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_335_02_01_sib,P05L0335,3,NULL,6 plants sib; seed increase,NULL,NULL
