08K0153,NULL,08K,(B73؃ML228)S5,Z003E0102,NULL,07A2073,3,14,7,NULL,NULL,3,NULL,Trial,range:2 plot:14 orientation:N;,3
08K0154,NULL,08K,(B73؃ML228)S5,Z003E0159,NULL,07A1060,4,14,7,NULL,NULL,3,NULL,Trial,range:2 plot:14 orientation:S;,3
08K0155,NULL,08K,(B73؃ML228)S5,Z003E0160,NULL,07A1211,3,13,8,NULL,NULL,3,NULL,Trial,range:2 plot:13 orientation:N;,3
08K0156,NULL,08K,(B73؃ML228)S5,Z003E0097,NULL,07A4210,4,13,8,NULL,NULL,3,NULL,Trial,range:2 plot:13 orientation:S;,3
08K0157,NULL,08K,(B73؃ML228)S5,Z003E0134,NULL,07A4930,3,12,8,NULL,NULL,3,NULL,Trial,range:2 plot:12 orientation:N;,3
08K0158,NULL,08K,(B73؃ML228)S5,Z003E0194,NULL,07A3517,4,12,8,NULL,NULL,3,NULL,Trial,range:2 plot:12 orientation:S;,3
08K0159,NULL,08K,(B73؃ML228)S5,Z003E0150,NULL,07A4996,3,11,8,NULL,NULL,3,NULL,Trial,range:2 plot:11 orientation:N;,3
08K0160,NULL,08K,(B73؃ML228)S5,Z003E0050,NULL,07A4957,4,11,8,NULL,NULL,3,NULL,Trial,range:2 plot:11 orientation:S;,3
08K0161,NULL,08K,B73,Z003E0201,NULL,07PN0031,3,10,8,NULL,NULL,3,NULL,Check2,range:2 plot:10 orientation:N;,3
08K0162,NULL,08K,(B73؃ML228)S5,Z003E0044,NULL,07A5300,4,10,8,NULL,NULL,3,NULL,Trial,range:2 plot:10 orientation:S;,3
08K0163,NULL,08K,(B73؃ML228)S5,Z003E0143,NULL,07A5495,3,9,8,NULL,NULL,3,NULL,Trial,range:2 plot:9 orientation:N;,3
08K0164,NULL,08K,(B73؃ML228)S5,Z003E0017,NULL,07A4858,4,9,8,NULL,NULL,3,NULL,Trial,range:2 plot:9 orientation:S;,3
08K0165,NULL,08K,(B73؃ML228)S5,Z003E0067,NULL,07A1747,3,8,8,NULL,NULL,3,NULL,Trial,range:2 plot:8 orientation:N;,3
08K0166,NULL,08K,(B73؃ML228)S5,Z003E0042,NULL,07A4015,4,8,8,NULL,NULL,3,NULL,Trial,range:2 plot:8 orientation:S;,3
08K0167,NULL,08K,(B73؃ML228)S5,Z003E0018,NULL,07A3824,3,7,8,NULL,NULL,3,NULL,Trial,range:2 plot:7 orientation:N;,3
08K0168,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,4,7,8,NULL,NULL,3,NULL,Check,range:2 plot:7 orientation:S;,3
08K0169,NULL,08K,(B73؃ML228)S5,Z003E0167,NULL,07A3221,3,6,8,NULL,NULL,3,NULL,Trial,range:2 plot:6 orientation:N;,3
08K0170,NULL,08K,(B73؃ML228)S5,Z003E0189,NULL,07A3081,4,6,8,NULL,NULL,3,NULL,Trial,range:2 plot:6 orientation:S;,3
