104,St1018x,St1018x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
105,St1019x,St1019x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
106,St1020x,St1020x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
107,St1021x,St1021x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
108,St1022x,St1022x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
109,St1023x,St1023x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
110,St1024x,St1024x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
111,St1025x,St1025x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
112,St1026x,St1026x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
113,St1027x,St1027x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
114,St1028x,St1028x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
115,St1029x,St1029x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
116,St1030x,St1030x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
117,St1031x,St1031x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
118,St1032x,St1032x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
119,St1033x,St1033x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
120,St1034x,St1034x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
