"('09PN0487_008x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_009x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_010x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0487_011x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PR0069_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0069_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0069_003s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0069_004s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0069_005s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0069_006s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0069_007s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0062_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0062_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0082_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0082_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0082_004s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0068_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0070_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0096_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0096_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0067_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0067_003s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0061_003s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0060_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0060_003s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0060_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0071_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0071_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0071_006s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0063_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0065_001s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PR0065_002s', 'NULL', 'Apr 29 2010 12:00AM', 'tiffany_jamann', '0', 'NULL', 'NULL', 'NULL')"
"('09PN0417_001s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_002s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_003s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_004s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_005s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_006s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_007s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_008s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_009s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_010s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_011s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_012s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_013s', 'NULL', 'May \xa04 2010 12:00AM', 'will_miller', '0', 'NULL', 'NULL', 'NULL')"
"('09PN0417_014s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0417_015s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
